NAME,EIA Name,Total,2016,2017,2018,2019,2020,2021,2022,2023
"ALCOA POWER GENERATING, INC. - YADKIN DIVISION",AD,,,,,,,,,
ARIZONA PUBLIC SERVICE COMPANY,AZPS,0.16,0,0,0,0,0.24,0.37,0.34,0.4
"ARLINGTON VALLEY, LLC - AVBA",DEAA,,,,,,,,,
"ASSOCIATED ELECTRIC COOPERATIVE, INC.",AECI,0.06,0.02,0.03,0.04,0.05,0.06,0.09,0.08,0.11
AVANGRID RENEWABLES LLC,AVRN,,,,,,,,,
AVISTA CORPORATION,AVA,0.4,0.43,0.46,0.4,0.4,0.35,0.33,0.36,0.38
BALANCING AUTHORITY OF NORTHERN CALIFORNIA,BANC,0.25,0.25,0.23,0.26,0.17,0.28,0.25,0.4,0.16
BONNEVILLE POWER ADMINISTRATION,BPAT,0,0,0,0,0,0,0,0,0
CALIFORNIA INDEPENDENT SYSTEM OPERATOR,CISO,0.24,0.28,0.26,0.28,0.25,0.27,0.25,0.22,0.14
CHUGACH ELECTRIC ASSN INC,,,,,,,,,,
CITY OF HOMESTEAD,HST,,,,,,,,,
"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",TPWR,0.48,0.36,0.38,0.51,0.67,0.45,0.46,0.45,0.58
CITY OF TALLAHASSEE,TAL,,,,,,,,,
DUKE ENERGY CAROLINAS,DUK,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02
DUKE ENERGY FLORIDA INC,FPC,0.24,0.26,0.26,0.26,0.25,0.25,0.23,0.2,0.24
DUKE ENERGY PROGRESS EAST,CPLE,0.03,0.02,0.02,0.03,0.03,0.03,0.05,0.04,0.03
DUKE ENERGY PROGRESS WEST,CPLW,0.42,0.64,0.66,0.56,0.58,0.26,0.19,0.19,0.17
EL PASO ELECTRIC COMPANY,EPE,0.44,0.55,0.52,0.39,0.36,0.42,0.44,0.46,0.36
"ELECTRIC ENERGY, INC.",EEI,,,,,,,,,
"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",ERCO,0,0,0,0,0,0,0,0,0
FLORIDA MUNICIPAL POWER POOL,FMPP,0.04,0.05,0.06,0.05,0.03,0.03,0.02,0.03,0.05
FLORIDA POWER & LIGHT COMPANY,FPL,0.02,0.05,0.04,0.01,0.01,0,0,0,0
GAINESVILLE REGIONAL UTILITIES,GVL,,,,,,,,,
"GILA RIVER POWER, LLC",GRMA,,,,,,,,,
"GRIDFORCE ENERGY MANAGEMENT, LLC",GRID,,,,,,,,,
GRIDFORCE SOUTH,,,,,,,,,,
"GRIFFITH ENERGY, LLC",GRIF,,,,,,,,,
HAWAIIAN ELECTRIC CO INC,,,,,,,,,,
IDAHO POWER COMPANY,IPCO,0.29,0.32,0.22,0.23,0.22,0.27,0.34,0.4,0.27
IMPERIAL IRRIGATION DISTRICT,IID,,,,,,,,,
ISO NEW ENGLAND INC.,ISNE,0.17,0.16,0.16,0.17,0.19,0.2,0.16,0.14,0.14
JEA,JEA,0.2,0.07,0.06,0.27,0.33,0.15,0.25,0.28,0.31
LOS ANGELES DEPARTMENT OF WATER AND POWER,LDWP,0.19,0.17,0.15,0.16,0.15,0.17,0.19,0.25,0.27
LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,LGEE,0.04,0,0,0,0.03,0.06,0.07,0.09,0.12
"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",MISO,0.06,0.07,0.08,0.06,0.08,0.09,0.06,0.05,0.06
"NATURENER POWER WATCH, LLC (GWA)",GWA,,,,,,,,,
"NATURENER WIND WATCH, LLC",WWA,,,,,,,,,
NEVADA POWER COMPANY,NEVP,0.17,0.17,0.22,0.2,0.17,0.17,0.17,0.17,0.15
NEW BRUNSWICK SYSTEM OPERATOR,,,,,,,,,,
"NEW HARQUAHALA GENERATING COMPANY, LLC - HGBA",HGMA,,,,,,,,,
"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",NSB,,,,,,,,,
NEW YORK INDEPENDENT SYSTEM OPERATOR,NYIS,0.16,0.16,0.18,0.17,0.16,0.14,0.18,0.19,0.16
NORTHWESTERN ENERGY (NWMT),NWMT,0.01,0,0,0.01,0.01,0.03,0.02,0,0
OHIO VALLEY ELECTRIC CORPORATION,OVEC,,,,,,,,,
PACIFICORP - EAST,PACE,0.05,0.04,0.07,0.05,0.07,0.06,0.03,0.02,0.04
PACIFICORP - WEST,PACW,0.37,0.14,0.13,0.22,0.36,0.4,0.39,0.61,0.75
"PJM INTERCONNECTION, LLC",PJM,0,0.01,0,0,0,0,0,0,0
PORTLAND GENERAL ELECTRIC COMPANY,PGE,0.7,0.71,0.75,0.67,0.73,0.75,0.71,0.75,0.65
POWERSOUTH ENERGY COOPERATIVE,AEC,0.04,0.02,0.01,0.02,0.07,0.07,0.08,0,0
PUBLIC SERVICE COMPANY OF COLORADO,PSCO,0.07,0.12,0.11,0.07,0.07,0.08,0.05,0.04,0
PUBLIC SERVICE COMPANY OF NEW MEXICO,PNM,0.05,0.02,0.01,0.09,0.08,0.05,0.04,0.05,0.06
PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,CHPD,,,,,,,,,
"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",GCPD,0.02,0.01,0.02,0.02,0.03,0,0.01,0.02,0.06
PUD NO. 1 OF DOUGLAS COUNTY,DOPD,,,,,,,,,
PUGET SOUND ENERGY,PSEI,0.57,0.47,0.51,0.54,0.44,0.3,0.73,0.79,0.68
SALT RIVER PROJECT,SRP,0.01,0.06,0.04,0.03,0,0,0,0,0
SEATTLE CITY LIGHT,SCL,0.39,0.29,0.35,0.35,0.45,0.37,0.37,0.39,0.52
SEMINOLE ELECTRIC COOPERATIVE,SEC,,,,,,,,,
SOUTH CAROLINA ELECTRIC & GAS COMPANY,SCEG,0.01,0,0.01,0.01,0.01,0.01,0.02,0,0.01
SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,SC,0.32,0.27,0.32,0.28,0.39,0.38,0.33,0.36,0.3
SOUTHEASTERN POWER ADMINISTRATION,SEPA,,,,,,,,,
"SOUTHERN COMPANY SERVICES, INC. - TRANS",SOCO,0,0,0,0.01,0.02,0,0,0,0
SOUTHWEST POWER POOL,SWPP,0.01,0,0,0,0.01,0.01,0.01,0,0.01
SOUTHWESTERN POWER ADMINISTRATION,SPA,,,,,,,,,
TAMPA ELECTRIC COMPANY,TEC,0.01,0.01,0.01,0.01,0,0.02,0.02,0.02,0.02
TENNESSEE VALLEY AUTHORITY,TVA,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.02
TUCSON ELECTRIC POWER COMPANY,TEPC,0.3,0.38,0.4,0.24,0.28,0.32,0.28,0.3,0.22
TURLOCK IRRIGATION DISTRICT,TIDC,,,,,,,,,
WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,WALC,0.18,0.24,0.34,0.3,0.16,0.1,0.08,0.13,0.11
WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,WACM,0,0,0,0,0,0,0,0,0
WESTERN AREA POWER ADMINISTRATION UGP WEST,WAUW,,,,,,,,,
